"","Year","Lg","Tm","W","L","T","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","oPts","oYds","dPts","dYds","T.G","PtsOvr","YdsOvr","out.of","MoV","SoS","SRS","OSRS","DSRS","TM","TID","c1","c2","p.Year","p.Lg","p.Tm","p.W","p.L","p.T","p.Playoffs","p.PF","p.PA","p.PD","p.Coaches","p.AV","p.Passer","p.Rusher","p.Receiver","p.oPts","p.oYds","p.dPts","p.dYds","p.T.G","p.PtsOvr","p.YdsOvr","p.out.of","p.MoV","p.SoS","p.SRS","p.OSRS","p.DSRS","p.TM","p.TID","p.c1","p.c2","fired.mid","nc","fired","start","cwins","closs","cties","wc","cc","dc","lsb","poffs","playwin","playloss","pmade","sb","cpw","cpl","post","rings","years","ap","twc","tdc","tcc","tlsb","d.Year","d.W","d.L","d.T","d.PF","d.PA","d.PD","d.oPts","d.oYds","d.dPts","d.dYds","d.T.G","d.PtsOvr","d.YdsOvr","d.out.of","d.MoV","d.SoS","d.SRS","d.OSRS","d.DSRS","win.p","p.win.p","d.win.p","v.win.p","c.win.p","pp","dpm","OPTS","OYDS","DPTS","DYDS","TO","PTSO","YDSO","pmz","postz","dpost","qb1","rb1","wr1","zc","y1","y2","y3","y4","y5","y6","y7","gm","gm1","gm2","l.post","mp","dp","cdp","dp5","dp3","dp2","champ","apy","cpwy","wcy","dcy","ccy","lsby","ringsy","apy1"
"31",1996,"NFL","Atlanta Falcons",3,13,0,"",309,461,-152,"Jones","Anderson","Hebert","Anderson","Emanuel",19,17,30,29,29,29,26,30,-9.5,0.4,-9.1,-0.2,-8.9,"atl",23,"Jones","",1995,"NFL","Atlanta Falcons*",9,7,0,"Lost WC",362,349,13,"Jones","George","George","Heyward","Metcalf",11,10,19,29,4,15,23,30,0.8,-0.7,0.1,0.9,-0.9,"atl",23,"Jones","",0,"Reeves",1,0,19,29,0,0,0,-10,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,1,-6,6,0,-53,112,-165,8,7,11,0,25,14,3,0,-10.3,1.1,-9.2,-1.1,-8,0.1875,0.5625,-0.375,0.55,0.395833333333333,0.333333333333333,-1,0.633333333333333,0.566666666666667,1,0.966666666666667,0.966666666666667,0.966666666666667,0.866666666666667,-0.0555555555555556,-0.125,0,1,1,1,-1.44337567297406,0,0,1,0,0,0,0,"Ken Herock",0,0,1,1,-0.1875,0.0208333333333333,-0.1875,-0.1875,-0.25,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.0333333333333333
"32",1997,"NFL","Atlanta Falcons",7,9,0,"",320,361,-41,"Reeves","Smith","Chandler","Anderson","Emanuel",18,23,21,20,11,19,23,30,-2.6,-1.6,-4.2,-1.2,-2.9,"atl",23,"Reeves","",1996,"NFL","Atlanta Falcons",3,13,0,"",309,461,-152,"Jones","Anderson","Hebert","Anderson","Emanuel",19,17,30,29,29,29,26,30,-9.5,0.4,-9.1,-0.2,-8.9,"atl",23,"Jones","",0,"Reeves",0,1,7,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,-4,0,11,-100,111,-1,6,-9,-9,-18,-10,-3,0,6.9,-2,4.9,-1,6,0.4375,0.1875,0.25,0.25,0.4375,0,-1,0.6,0.766666666666667,0.7,0.666666666666667,0.366666666666667,0.633333333333333,0.766666666666667,-0.5,0,-1,1,0,0,-0.5,1,0,0,0,0,0,0,"Dan Reeves",0,1,1,1,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0
"33",1998,"NFL","Atlanta Falcons*",14,2,0,"Lost SB",442,289,153,"Reeves","Anderson","Chandler","Anderson","Martin",4,7,4,8,1,3,7,30,9.6,0.4,10,7,3,"atl",23,"Reeves","",1997,"NFL","Atlanta Falcons",7,9,0,"",320,361,-41,"Reeves","Smith","Chandler","Anderson","Emanuel",18,23,21,20,11,19,23,30,-2.6,-1.6,-4.2,-1.2,-2.9,"atl",23,"Reeves","",0,"Reeves",0,0,21,11,0,0,0,10,1,4,3,1,1,0,3,1,1,0,2,4,0,0,0,1,1,7,-7,0,122,-72,194,-14,-16,-17,-12,-10,-16,-16,0,12.2,2,14.2,8.2,5.9,0.875,0.4375,0.4375,0.45,0.65625,0.5,0,0.133333333333333,0.233333333333333,0.133333333333333,0.266666666666667,0.0333333333333333,0.1,0.233333333333333,0,0.03125,1,0,0,1,1.76776695296637,0,1,0,0,0,0,0,"Dan Reeves",0,1,0,1,0.6875,0.46875,0.6875,0.6875,0.6875,0,2,1.5,0.5,0.5,0.5,0.5,0,4.55
"34",1999,"NFL","Atlanta Falcons",5,11,0,"",285,380,-95,"Reeves","Mathis","Chandler","Oxendine","Mathis",23,27,25,16,31,26,28,31,-5.9,-1.1,-7.1,-4,-3,"atl",23,"Reeves","",1998,"NFL","Atlanta Falcons*",14,2,0,"Lost SB",442,289,153,"Reeves","Anderson","Chandler","Anderson","Martin",4,7,4,8,1,3,7,30,9.6,0.4,10,7,3,"atl",23,"Reeves","",0,"Reeves",0,0,26,22,0,0,0,4,0,0,0,0,0,0,3,1,1,0,3,4,0,0,0,1,1,-9,9,0,-157,91,-248,19,20,21,8,30,23,21,1,-15.5,-1.5,-17.1,-11,-6,0.3125,0.875,-0.5625,0.8,0.541666666666667,0.333333333333333,-1,0.741935483870968,0.870967741935484,0.806451612903226,0.516129032258065,1,0.838709677419355,0.903225806451613,-0.0555555555555556,0.03125,0,0,1,1,0.577350269189625,0,0,1,0,0,0,0,"Dan Reeves",0,1,1,1,0.125,0.354166666666667,0.125,0.125,-0.125,0,1.33333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,3.03333333333333
"35",2000,"NFL","Atlanta Falcons",4,12,0,"",252,413,-161,"Reeves","Anderson","Chandler","Anderson","Jefferson",27,30,26,25,23,27,29,31,-10.1,1.5,-8.6,-5.7,-2.9,"atl",23,"Reeves","",1999,"NFL","Atlanta Falcons",5,11,0,"",285,380,-95,"Reeves","Mathis","Chandler","Oxendine","Mathis",23,27,25,16,31,26,28,31,-5.9,-1.1,-7.1,-4,-3,"atl",23,"Reeves","",0,"Reeves",0,0,30,34,0,0,0,-4,0,0,0,0,0,0,3,1,1,0,4,4,0,0,0,1,1,-1,1,0,-33,33,-66,4,3,1,9,-8,1,1,0,-4.2,2.6,-1.5,-1.7,0.1,0.25,0.3125,-0.0625,0.35,0.46875,0.25,-2,0.870967741935484,0.967741935483871,0.838709677419355,0.806451612903226,0.741935483870968,0.870967741935484,0.935483870967742,-0.0625,0.03125,0,0,1,1,-0.5,0,0,0,1,0,0,0,"Dan Reeves",0,1,2,1,0.0625,0.28125,0.0625,-0.1875,-0.625,0,1,0.75,0.25,0.25,0.25,0.25,0,2.275
"36",2001,"NFL","Atlanta Falcons",7,9,0,"",291,377,-86,"Reeves","Chandler","Chandler","Smith","Mathis",23,15,24,30,13,26,28,31,-5.4,0.7,-4.7,-2.7,-2,"atl",23,"Reeves","",2000,"NFL","Atlanta Falcons",4,12,0,"",252,413,-161,"Reeves","Anderson","Chandler","Anderson","Jefferson",27,30,26,25,23,27,29,31,-10.1,1.5,-8.6,-5.7,-2.9,"atl",23,"Reeves","",0,"Reeves",0,0,37,43,0,0,0,-6,0,0,0,0,0,0,3,1,1,0,5,4,0,0,0,1,1,3,-3,0,39,-36,75,-4,-15,-2,5,-10,-1,-1,0,4.7,-0.8,3.9,3,0.9,0.4375,0.25,0.1875,0.3,0.4625,0.2,-3,0.741935483870968,0.483870967741935,0.774193548387097,0.967741935483871,0.419354838709677,0.838709677419355,0.903225806451613,-0.06,0.03125,0,0,1,1,-0.670820393249937,0,0,0,0,1,0,0,"Dan Reeves",0,1,3,1,0.25,0.275,0.25,-0.4375,0.125,0,0.8,0.6,0.2,0.2,0.2,0.2,0,1.82
"37",2002,"NFL","Atlanta Falcons*",9,6,1,"Lost Div",402,314,88,"Reeves","Vick","Vick","Dunn","Finneran",5,14,8,19,5,4,16,32,5.5,-0.4,5.1,3.5,1.5,"atl",23,"Reeves","",2001,"NFL","Atlanta Falcons",7,9,0,"",291,377,-86,"Reeves","Chandler","Chandler","Smith","Mathis",23,15,24,30,13,26,28,31,-5.4,0.7,-4.7,-2.7,-2,"atl",23,"Reeves","",0,"Reeves,Phillips",0,0,46,49,1,0,0,-3,0,2,1,1,1,0,4,2,2,0,6,6,0,1,0,1,1,2,-3,1,111,-63,174,-18,-1,-16,-11,-8,-22,-12,1,10.9,-1.1,9.8,6.2,3.5,0.59375,0.4375,0.15625,0.45,0.484375,0.333333333333333,-2,0.15625,0.4375,0.25,0.59375,0.15625,0.125,0.5,-0.0277777777777778,0.0170103454359943,1,1,1,1,-0.306186217847897,0,0,0,0,0,1,0,"Dan Reeves",0,0,0,1,0.40625,0.296875,0,0.28125,0.34375,0,1,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.166666666666667,0,1.86666666666667
"38",2003,"NFL","Atlanta Falcons",5,11,0,"",299,422,-123,"Reeves,Phillips","Brooking","Johnson","Duckett","Price",20,29,30,32,14,28,31,32,-7.7,0.3,-7.4,-2,-5.4,"atl",23,"Phillips",NA,2002,"NFL","Atlanta Falcons*",9,6,1,"Lost Div",402,314,88,"Reeves","Vick","Vick","Dunn","Finneran",5,14,8,19,5,4,16,32,5.5,-0.4,5.1,3.5,1.5,"atl",23,"Reeves","",1,"Mora",1,0,51,60,1,0,0,-9,0,0,0,0,0,0,4,2,2,0,7,6,0,1,0,1,1,-4,5,-1,-103,108,-211,15,15,22,13,9,24,15,0,-13.2,0.7,-12.5,-5.5,-6.9,0.3125,0.59375,-0.28125,0.575,0.459821428571429,0.285714285714286,-3,0.625,0.90625,0.9375,1,0.4375,0.875,0.96875,-0.0306122448979592,0.0170103454359943,0,1,1,1,-0.850420064270762,0,0,0,0,0,0,1,"Dan Reeves",0,0,1,1,0.125,0.272321428571429,0,0.125,0.125,0,0.857142857142857,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0,1.6
"39",2004,"NFL","Atlanta Falcons*",11,5,0,"Lost Conf",340,337,3,"Mora","Vick","Vick","Dunn","Crumpler",16,20,14,14,17,14,17,32,0.2,-2.4,-2.2,-1.8,-0.4,"atl",23,"Mora","",2003,"NFL","Atlanta Falcons",5,11,0,"",299,422,-123,"Reeves,Phillips","Brooking","Johnson","Duckett","Price",20,29,30,32,14,28,31,32,-7.7,0.3,-7.4,-2,-5.4,"atl",23,"Reeves","Phillips",0,"Mora",0,1,11,5,0,0,1,6,0,3,2,1,1,0,2,1,1,0,1,3,0,0,1,0,1,6,-6,0,41,-85,126,-4,-9,-16,-18,3,-14,-14,0,7.9,-2.7,5.2,0.2,5,0.6875,0.3125,0.375,0.35,0.6875,1,1,0.5,0.625,0.4375,0.4375,0.53125,0.4375,0.53125,0.5,0.0240562612162344,-1,1,1,1,1.5,1,0,0,0,0,0,0,"Rich McKay",0,1,0,1,0.375,0.375,0.375,0.375,0.375,0,3,2,1,1,1,0,0,5.1
"40",2005,"NFL","Atlanta Falcons",8,8,0,"",351,341,10,"Mora","Dunn","Vick","Dunn","Crumpler",14,12,18,22,17,16,20,32,0.6,-1.9,-1.2,1.1,-2.3,"atl",23,"Mora","",2004,"NFL","Atlanta Falcons*",11,5,0,"Lost Conf",340,337,3,"Mora","Vick","Vick","Dunn","Crumpler",16,20,14,14,17,14,17,32,0.2,-2.4,-2.2,-1.8,-0.4,"atl",23,"Mora","",0,"Mora",0,0,19,13,0,0,0,6,0,0,0,0,0,0,2,1,1,0,2,3,0,0,1,0,1,-3,3,0,11,4,7,-2,-8,4,8,0,2,3,0,0.4,0.5,1,2.9,-1.9,0.5,0.6875,-0.1875,0.65,0.59375,0.5,0,0.4375,0.375,0.5625,0.6875,0.53125,0.5,0.625,0,0.0240562612162344,0,0,0,0,1.06066017177982,0,1,0,0,0,0,0,"Rich McKay",0,1,1,1,0.1875,0.28125,0.1875,0.1875,0.1875,0,1.5,1,0.5,0.5,0.5,0,0,2.55
